,股票代码,股票简称,ROE2020
11,873652.BJ,常荣电器,26.39
12,873132.BJ,泰鹏智能,56.75
14,872677.BJ,天朔医疗,22.12
15,872161.BJ,风行测控,50.83
16,871037.BJ,天和环保,20.51
18,870656.BJ,海昇药业,64.62
19,870092.BJ,派沃股份,34.37
20,870046.BJ,图腾信息,15.91
22,838737.BJ,月新科技,22.35
23,838419.BJ,威泽智能,19.77
24,838049.BJ,琅卡博,23.8
25,837758.BJ,宏天信业,17.53
26,837403.BJ,康农种业,26.32
27,837273.BJ,南联环资,19.66
31,835909.BJ,双飞人,28.3
32,835680.BJ,西部宝德,20.46
38,832651.BJ,天罡股份,20.26
41,831589.BJ,吉福新材,39.57
45,603880.SH,南卫股份,16.01
48,600234.SH,科新发展,55.69
49,430755,华曦达,32.35
50,301399.SZ,英特科技,36.51
51,301305.SZ,朗坤环境,16.3
53,300715.SZ,凯伦股份,23.36
57,001282.SZ,三联锻造,16.77
58,900927,物贸B股,15.69
61,873119.BJ,绿林幼教,21.98
62,873017.BJ,渝欧跨境,74.2
63,872967.BJ,蓉中电气,25.91
64,872958.BJ,硕恩网络,35.08
65,872495.BJ,凯鸿物流,17.14
66,872476.BJ,上海生农,21.95
69,871840.BJ,五五科技,47.06
70,870752.BJ,云泉岩土,16.28
72,870301.BJ,康通电子,16.41
73,839962.BJ,中诚咨询,38.73
74,839355.BJ,为正生物,129.96
77,838693.BJ,佳鹏股份,37.82
78,838547.BJ,天盛股份,22.34
80,838192.BJ,铂联科技,19.14
81,838075.BJ,安锐信息,42.55
82,837934.BJ,神州能源,23.1
83,837006.BJ,晟楠科技,17.32
87,836679.BJ,科睿特,24.9
90,835692.BJ,力王高科,25.3
96,832214.BJ,太川股份,20.93
99,831698.BJ,工大软件,16.3
104,688581.SH,安杰思,23.3
107,600822.SH,上海物贸,15.69
114,301337.SZ,亚华电子,29.1
119,001324.SZ,长青科技,21.54
121,873777.BJ,红东方,16.54
122,873570.BJ,坤博精工,24.56
123,873549.BJ,华联医疗,69.08
124,873500.BJ,博克斯,41.05
125,839031.BJ,华成电力,23.37
128,837023.BJ,芭薇股份,17.57
130,836388.BJ,力姆泰克,19.02
131,834565.BJ,特美股份,28.54
133,833453.BJ,永创医药,49.89
147,873569.BJ,博大新材,39.36
148,873217.BJ,三科股份,57.91
150,871263.BJ,莱赛激光,17.71
157,833332.BJ,多尔晋泽,21.19
164,834743.BJ,迈新科技,45.14
165,833640.BJ,中崎股份,19.4
167,832915.BJ,汉尧碳科,51.31
168,832836.BJ,银钢一通,23.79
169,831991.BJ,聚彩科技,23.79
171,301428.SZ,世纪恒通,18.82
172,301332.SZ,德尔玛,22.19
179,688552.SH,航天南湖,35.15
182,301382.SZ,蜂助手,23.57
183,301319.SZ,唯特偶,21.92
184,001380.SZ,华纬科技,17.93
185,000504.SZ,南华生物,36.26
190,871478.BJ,巨能股份,50.6
192,836935.BJ,小棉袄,63.4
196,430073,兆信股份,15.82
199,836521.BJ,商客通,130.87
200,833455.BJ,汇隆活塞,18.91
202,688479.SH,友车科技,19.64
203,301390.SZ,经纬股份,27.95
204,301360.SZ,荣旗科技,45.72
205,873461.BJ,迈威通信,20.01
207,836699.BJ,海达尔,29.89
208,836221.BJ,易实精密,19.04
211,603172.SH,万丰股份,19.92
212,603137.SH,恒尚节能,24.6
213,430547,畅想高科,26.1
214,430516,文达通,22.11
215,430335,华韩股份,32.49
216,301325.SZ,曼恩斯特,62.75
218,873437.BJ,天一恩华,91.52
222,688478.SH,晶升股份,21.76
225,430391,万特电气,16.66
230,688539.SH,高华科技,16.9
232,301357.SZ,北方长龙,59.7
237,301429.SZ,森泰股份,29.15
238,301387.SZ,光大同创,30.23
244,836050.BJ,深蓝股份,20.91
245,833334.BJ,摩尔股份,19.03
246,830921.BJ,海阳股份,25.17
249,839909.BJ,粤嵌科技,16.57
252,001367.SZ,海森药业,22.69
253,001360.SZ,南矿集团,21.84
255,871937.BJ,联星技术,29.99
256,871694.BJ,中裕科技,21.59
257,831406.BJ,森达电气,19.08
263,874066.BJ,德博尔,19.25
266,830779.BJ,武汉蓝电,37.63
267,603125.SH,常青科技,31.19
270,001287.SZ,中电港,16.15
272,873567.BJ,明远创意,21.08
273,870086.BJ,柯美特,17.1
274,839036.BJ,珠海鸿瑞,25.68
275,838812.BJ,欧曼科技,26.54
276,838758.BJ,思迅软件,47.1
277,688146.SH,中船特气,21.83
281,001328.SZ,登康口腔,19.92
282,839894.BJ,长城搅拌,31.69
283,836106.BJ,君逸数码,26.2
285,831304.BJ,迪尔化工,17.01
287,688535.SH,华海诚科,27.53
290,301203.SZ,国泰环保,55.55
292,301141.SZ,中科磁业,28.98
294,833207.BJ,中科生物,34.26
297,874032.BJ,基烁股份,55.19
298,836208.BJ,青矩技术,33.93
299,832925.BJ,城投鹏基,25.9
301,873593.BJ,鼎智科技,56.24
302,873576.BJ,天力复合,16.18
303,870804.BJ,科志股份,40.12
304,870801.BJ,皖创环保,20.54
305,836831.BJ,蜜思肤,32.51
306,831006.BJ,久易股份,19.88
307,839410.BJ,普泰环保,25.61
308,837748.BJ,路桥信息,25.46
309,834261.BJ,一诺威,22.84
311,301386.SZ,未来电器,27.47
312,002928.SZ,华夏航空,18.68
313,872869.BJ,瑞华技术,31.86
314,873554.BJ,赛康智能,22.25
317,871282.BJ,关爱通,24.53
321,301281.SZ,科源制药,22.33
322,872895.BJ,花溪科技,31.69
325,301314.SZ,科瑞思,28.5
326,873665.BJ,科强股份,18.06
327,301439.SZ,泓淋电力,22.25
