,股票代码,股票简称,ROE2022,ROE2021,ROE2020,ROE2019,ROE2018
304,872374.BJ,云里物里,19.14,42.94,29.46,56.35,48.86
306,872288.BJ,金码测控,17.45,18.72,20.33,19.29,15.64
307,872267.BJ,金发股份,18.86,18.73,33.9,38.18,53.04
308,872216.BJ,高发气体,30.68,22.67,29.02,43.36,31.24
317,871952.BJ,国创节能,15.13,21.5,33.58,22.25,30.22
321,871840.BJ,五五科技,56.88,56.62,47.06,49.27,24.04
324,871791.BJ,修路人,19.22,31.27,43.92,40.54,39.44
325,871721.BJ,润元户外,19.51,37.13,39.03,22.98,26.35
326,871529.BJ,鼎峰科技,17.34,30.29,36.83,24.03,25.09
330,870892.BJ,杭州路桥,18.33,17.92,19.19,29.43,26.2
332,870702.BJ,点触科技,23.2,27.31,90.73,106.85,69.09
334,870548.BJ,凯奥能源,18.77,29.53,16.73,30.14,37.45
337,870225.BJ,华聪股份,17.78,24.51,33.16,25.57,25.31
340,870009.BJ,安捷股份,31.49,26.63,22.08,16.89,24.28
341,839962.BJ,中诚咨询,37.19,28.66,38.73,50.98,38.57
345,839583.BJ,图南电子,30.09,36.0,63.29,20.58,24.8
348,839305.BJ,尼普顿,37.38,27.65,19.82,28.13,16.56
350,839187.BJ,视瑞特,23.57,51.44,40.12,22.37,27.02
351,839142.BJ,金穗隆,20.47,20.42,22.35,21.09,21.28
360,838798.BJ,瑞星时光,24.6,31.46,41.12,35.59,25.87
361,838693.BJ,佳鹏股份,40.54,34.29,37.82,41.78,50.69
364,838486.BJ,远正智能,22.1,28.22,60.61,18.2,19.64
365,838408.BJ,天锐股份,18.86,44.93,29.53,23.92,28.81
368,838334.BJ,金证互通,26.69,59.57,57.45,46.71,43.33
384,837090.BJ,泛谷药业,32.18,31.67,45.19,73.09,51.96
393,836127.BJ,亿鑫股份,27.82,24.77,22.57,26.97,17.8
394,836047.BJ,信元网安,19.64,36.91,36.56,25.01,45.71
403,835287.BJ,鹏业软件,25.03,34.97,39.76,31.04,20.35
404,835203.BJ,亚微软件,44.07,40.79,35.1,16.12,16.13
406,835187.BJ,中汇股份,35.28,22.68,37.12,28.84,31.64
410,834700.BJ,征途科技,65.71,45.32,48.9,32.17,35.86
415,834361.BJ,融航信息,33.69,51.23,59.32,29.39,24.63
421,833505.BJ,美的连,35.44,38.38,56.33,48.36,40.97
431,832822.BJ,保正股份,52.98,49.56,41.55,26.33,21.6
432,832499.BJ,天海流体,22.54,15.9,19.36,24.7,19.86
439,831718.BJ,青鸟软通,16.08,17.83,24.03,30.2,23.92
440,831698.BJ,工大软件,15.93,18.23,16.3,19.43,22.4
442,831641.BJ,格利尔,24.54,17.86,16.89,20.66,27.42
448,831236.BJ,华东修船,32.81,27.33,21.36,21.09,20.29
451,831032.BJ,景睿策划,35.03,53.86,25.36,40.31,21.15
457,688789.SH,宏华数科,15.48,21.21,26.03,29.19,27.83
459,688581.SH,安杰思,44.4,38.95,23.3,37.98,40.67
460,688399.SH,硕世生物,58.8,56.81,60.06,20.08,21.84
461,688390.SH,固德威,33.18,18.12,34.99,27.79,19.27
462,688152.SH,麒麟信安,22.84,45.65,59.55,43.1,26.58
464,605266.SH,健之佳,17.87,16.67,31.79,32.0,32.95
468,603801.SH,志邦家居,19.91,21.16,19.17,17.59,15.42
469,603387.SH,基蛋生物,21.76,20.43,17.84,23.27,20.14
470,603338.SH,浙江鼎力,19.32,20.89,19.16,23.96,20.05
474,603073.SH,彩蝶实业,16.44,23.9,21.5,24.62,27.27
475,603060.SH,国检集团,15.2,17.15,17.19,16.77,18.57
478,601225.SH,陕西煤业,35.28,24.03,19.37,21.27,22.91
485,430550,沃克斯,43.34,49.23,33.18,21.29,21.45
486,430442,华昊电器,33.13,43.44,17.69,22.64,23.58
487,430158,北方科诚,15.41,35.33,19.01,20.39,37.04
490,301357.SZ,北方长龙,22.71,42.17,59.7,61.02,34.61
491,301338.SZ,凯格精机,16.16,27.83,29.08,26.16,29.77
492,301337.SZ,亚华电子,23.52,26.72,29.1,27.43,17.74
493,301203.SZ,国泰环保,29.29,31.78,55.55,42.78,20.89
495,300776.SZ,帝尔激光,16.63,19.02,22.92,31.48,71.22
506,002597.SZ,金禾实业,27.03,22.09,15.5,19.42,25.15
526,873931.BJ,潜阳科技,31.14,17.28,22.96,27.68,21.91
536,873757.BJ,汉和生物,18.34,23.54,30.29,36.06,63.46
544,873636.BJ,博达软件,20.47,24.64,25.78,29.56,25.79
547,873570.BJ,坤博精工,26.32,16.53,24.56,23.52,19.14
552,873438.BJ,苏一工院,21.34,31.58,24.51,42.93,31.85
553,873435.BJ,远航高新,24.45,24.23,15.67,15.66,23.34
555,873416.BJ,聚脉文化,17.76,19.42,17.67,15.55,30.33
556,873410.BJ,生态家园,54.17,77.45,54.9,19.98,32.59
559,873280.BJ,秦燕科技,24.66,31.05,31.07,24.0719,21.4858
560,873269.BJ,赢时物业,23.86,33.34,47.62,55.58,23.42
564,873167.BJ,新赣江,18.14,22.08,15.73,16.25,32.99
565,873125.BJ,山东博丽,28.89,22.23,23.26,37.21,37.86
567,873059.BJ,莱恩光电,36.7,33.39,27.02,21.69,23.9
568,872978.BJ,荣鑫股份,30.54,37.77,51.25,53.42,44.28
570,872940.BJ,快乐番薯,31.9,40.58,43.05,64.3,72.67
575,872373.BJ,第一成美,23.75,30.89,46.76,28.0,24.87
578,872327.BJ,简达物流,42.72,49.21,36.62,27.83,35.4
583,871951.BJ,左岸环境,26.19,33.63,39.08,24.55,32.15
596,870935.BJ,爱吉仁,18.45,15.69,19.01,23.32,16.11
598,870844.BJ,金浔股份,30.62,60.34,32.8,19.83,40.23
599,870781.BJ,亿林科技,28.88,23.55,37.16,36.58,29.7
600,870624.BJ,国瑞税务,53.82,52.81,63.09,60.04,53.87
604,870145.BJ,光博士,27.13,28.73,25.69,30.81,27.99
606,870073.BJ,力美照明,32.34,22.64,24.68,40.41,32.7
610,839477.BJ,迈凯诺,29.38,30.95,39.42,20.32,19.14
611,839418.BJ,控汇股份,29.02,34.25,37.22,38.87,38.35
621,838319.BJ,科思特,24.57,27.04,28.81,29.53,29.82
627,837983.BJ,海峡人力,25.01,21.69,20.05,16.84,17.89
630,837667.BJ,益生康健,26.16,29.02,26.11,23.41,22.29
632,837580.BJ,锐邦传播,21.05,31.43,25.79,52.35,41.84
634,837527.BJ,和田维药,27.26,23.55,24.94,35.77,38.73
635,837525.BJ,纳兰德,16.66,16.75,16.25,63.14,56.99
644,836388.BJ,力姆泰克,23.54,26.04,19.02,21.83,16.13
645,836274.BJ,泓杰股份,16.21,20.55,23.47,23.19,15.88
652,835850.BJ,凯欣股份,16.38,19.53,20.48,18.59,17.2
654,835690.BJ,信源信息,24.41,28.47,27.51,17.87,20.21
659,835333.BJ,帕克国际,17.92,19.82,18.66,21.67,27.87
673,833458.BJ,悦为股份,78.49,82.45,50.25,51.71,60.27
674,833453.BJ,永创医药,53.29,41.87,49.89,56.82,55.49
686,832226.BJ,新阳升,62.88,29.59,21.13,25.04,45.48
687,832189.BJ,科瑞达,17.27,22.01,33.32,27.29,26.03
689,832114.BJ,中爆数字,18.16,23.03,26.61,22.97,22.9
699,831390.BJ,宜都运机,25.63,27.43,25.28,16.77,16.29
709,688639.SH,华恒生物,24.12,18.12,28.21,35.33,30.39
712,688348.SH,昱能科技,18.02,42.58,54.96,83.1,184.9
713,688273.SH,麦澜德,16.79,39.22,61.98,77.36,79.21
717,688036.SH,传音控股,16.78,32.2,28.9,33.53,18.49
720,603811.SH,诚意药业,15.66,18.46,20.36,18.62,15.53
724,603327.SH,福蓉科技,22.23,18.96,23.1,26.43,26.03
725,603288.SH,海天味业,25.52,31.63,36.13,33.69,32.66
726,603198.SH,迎驾贡酒,26.38,24.69,19.41,20.57,18.42
730,603018.SH,华设集团,16.63,17.1,18.35,19.39,17.28
731,601838.SH,成都银行,19.48,17.6,15.94,16.63,16.04
743,301439.SZ,泓淋电力,20.83,23.55,22.25,29.11,16.43
744,301378.SZ,通达海,21.53,30.9,48.26,39.42,49.39
745,301322.SZ,绿通科技,57.71,39.34,21.03,25.08,17.44
746,301309.SZ,万得凯,18.32,30.32,26.67,25.27,43.07
752,301004.SZ,嘉益股份,37.18,16.42,18.3,25.13,38.83
756,300777.SZ,中简科技,19.15,15.66,21.51,16.58,21.05
761,300450.SZ,先导智能,22.55,21.03,16.57,20.86,23.95
764,300015.SZ,爱尔眼科,19.16,20.58,21.48,22.51,18.55
765,300003.SZ,乐普医疗,17.6,16.0,21.12,25.03,19.13
768,002841.SZ,视源股份,20.86,21.84,31.87,38.38,34.1
770,002768.SZ,国恩股份,17.59,19.12,26.74,18.01,17.63
772,002508.SZ,老板电器,17.21,15.78,22.39,25.1,26.4
775,002304.SZ,洋河股份,21.03,18.55,20.2,21.21,25.95
778,001278.SZ,一彬科技,16.55,17.52,26.75,21.46,17.67
791,873876.BJ,商信政通,28.2,45.24,33.02,60.41,41.39
802,873493.BJ,莱易信产,31.56,29.58,15.07,38.06,17.0
803,873478.BJ,景泽环境,17.27,53.54,84.58,54.2,238.22
804,873381.BJ,炫之彩,33.26,34.11,24.11,32.0,26.71
805,873311.BJ,华齿口腔,35.61,51.46,48.52,61.18,53.13
806,873295.BJ,工源环境,23.65,35.02,34.57,35.6,51.77
807,873217.BJ,三科股份,53.39,71.13,57.91,70.48,70.9
817,872873.BJ,国仪测控,18.61,19.76,17.32,17.15,23.88
818,872767.BJ,雅莎股份,20.97,23.17,25.56,30.51,55.11
820,872742.BJ,万司股份,18.19,39.49,37.02,47.44,44.49
823,872682.BJ,国君医疗,25.87,16.77,32.47,16.04,19.12
824,872656.BJ,上易机械,19.73,23.34,30.44,54.29,25.53
831,872308.BJ,盛祺信息,19.91,33.79,52.13,52.13,56.04
834,872121.BJ,氟聚股份,30.43,45.07,23.56,17.35,18.05
837,871823.BJ,天启新材,31.91,29.18,37.14,65.41,29.04
843,871171.BJ,金盾电子,20.21,19.59,19.42,22.82,18.76
844,870804.BJ,科志股份,34.94,42.99,40.12,25.53,29.15
850,870529.BJ,东铭新材,25.63,47.9,40.52,51.81,54.4
852,870357.BJ,雅葆轩,35.48,53.33,27.32,17.22,19.6
854,870126.BJ,卓识网安,29.76,32.88,40.36,45.68,47.8
859,839732.BJ,力博医药,18.1,18.88,18.58,19.09,16.13
862,839173.BJ,悦诚达,27.69,23.99,16.61,19.93,18.42
