,股票代码,股票简称,ROE2022,ROE2021,ROE2020,ROE2019,ROE2018
1428,837351.BJ,新申新材,34.95,46.05,31.74,30.55,34.04
1430,836742.BJ,大地测绘,15.43,16.45,16.3,16.92,16.63
1431,836521.BJ,商客通,81.19,105.63,130.87,124.7,49.92
1433,836284.BJ,欧菲特,18.5,18.57,17.93,41.67,34.3
1434,835808.BJ,星成电子,25.73,29.0,24.6,26.43,24.19
1435,835500.BJ,百丞税务,82.19,59.05,82.23,91.35,66.65
1439,833669.BJ,携泰健康,34.46,37.69,30.35,28.65,28.03
1441,833455.BJ,汇隆活塞,18.54,18.87,18.91,19.52,20.35
1450,688479.SH,友车科技,17.56,24.53,19.64,22.29,22.27
1452,605399.SH,晨光新材,33.55,38.88,17.16,29.84,49.01
1456,301390.SZ,经纬股份,20.5,22.95,27.95,29.45,24.04
1458,300916.SZ,朗特智能,17.21,15.71,26.23,23.06,24.75
1459,300866.SZ,安克创新,17.81,17.32,26.34,44.2,36.66
1469,873461.BJ,迈威通信,35.53,22.41,20.01,25.36,34.96
1470,873026.BJ,畅越飞平,21.51,24.48,28.8,30.95,38.65
1471,873005.BJ,永通生态,21.9,27.67,28.72,36.21,33.25
1475,872801.BJ,智明星通,31.71,51.03,30.92,39.94,52.87
1478,872544.BJ,创业测绘,19.95,20.1,20.97,16.42,15.29
1479,872419.BJ,罗特钢带,32.93,40.05,24.02,22.56,61.73
1495,839133.BJ,淳博传播,17.17,18.62,15.26,30.03,29.39
1496,838878.BJ,诺安智能,18.94,22.32,18.76,17.17,18.42
1500,837997.BJ,世昕股份,33.82,20.52,25.92,37.6,29.83
1508,836392.BJ,博为峰,43.3,47.82,32.68,48.17,25.89
1510,836208.BJ,青矩技术,30.88,34.82,33.93,45.22,26.28
1512,835636.BJ,骏马科技,19.85,25.31,19.75,21.55,27.58
1513,835191.BJ,东方网升,38.26,34.9,30.78,38.43,35.62
1515,834599.BJ,同力股份,24.6,23.5,36.24,36.43,29.25
1517,834329.BJ,博洋股份,24.47,29.52,20.96,18.36,24.74
1518,834300.BJ,合泰电机,15.52,26.44,28.35,24.95,34.21
1523,832702.BJ,九通水务,15.59,41.98,37.26,28.5,42.9
1529,831254.BJ,平方科技,19.17,21.98,26.03,28.32,20.67
1533,688698.SH,伟创电气,15.18,15.59,29.07,24.52,16.25
1534,688201.SH,信安世纪,15.88,17.98,26.74,27.98,32.61
1535,605117.SH,德业股份,45.5,29.29,55.26,59.71,36.87
1541,603182.SH,嘉华股份,18.42,18.47,21.06,26.62,24.74
1542,603137.SH,恒尚节能,23.74,22.63,24.6,24.3,41.02
1543,603130.SH,云中马,16.25,25.8,29.01,33.93,25.7
1544,603071.SH,物产环能,25.39,50.06,31.24,33.95,36.48
1546,601089.SH,福元医药,20.25,28.84,28.35,28.71,35.77
1548,600389.SH,江山股份,60.85,36.68,16.3,15.62,22.76
1555,301363.SZ,美好医疗,21.16,24.58,24.19,38.97,29.73
1556,301325.SZ,曼恩斯特,46.91,35.09,62.75,145.58,158.59
1559,300014.SZ,亿纬锂能,17.46,18.11,18.97,25.49,17.07
1565,873437.BJ,天一恩华,63.73,92.16,91.52,85.79,109.39
1566,873232.BJ,百诺环境,20.57,18.99,20.94,29.0,16.46
1567,873095.BJ,鼎信数智,33.68,21.54,18.43,31.0,17.58
1570,872808.BJ,曙光数创,38.61,49.3,58.37,48.28,24.51
1579,837663.BJ,明阳科技,29.23,24.9,24.86,21.27,25.43
1580,835311.BJ,华瑞信息,23.44,20.75,28.05,31.4,21.84
1588,603871.SH,嘉友国际,19.58,15.43,18.1,19.94,20.26
1589,301387.SZ,光大同创,21.86,31.25,30.23,45.78,41.9
1594,688697.SH,纽威数控,19.7,23.19,23.35,18.0,20.42
1595,688475.SH,萤石网络,20.22,38.79,47.05,56.69,67.64
1597,603529.SH,爱玛科技,31.15,17.46,25.65,29.43,33.24
1603,600436.SH,片仔癀,23.5,27.68,23.07,23.64,24.98
1608,301377.SZ,鼎泰高科,19.93,29.68,30.38,17.19,32.93
1611,300685.SZ,艾德生物,18.42,19.19,17.84,16.27,17.79
1614,300415.SZ,伊之密,17.94,28.12,22.16,16.06,15.87
1617,002415.SZ,海康威视,19.62,28.99,27.72,30.53,33.99
1620,000422.SZ,湖北宜化,60.82,115.92,47.49,17.09,29.69
1625,871481.BJ,中运科技,16.22,18.39,21.29,20.83,26.93
1630,839067.BJ,集媒互动,30.16,35.62,31.58,40.7,28.48
1636,834037.BJ,龙盛世纪,19.93,19.5,21.73,40.05,34.27
1640,831992.BJ,嘉得力,29.37,27.22,29.63,17.65,18.37
1641,831707.BJ,绿岛生态,25.08,24.05,28.94,36.87,25.49
1644,603927.SH,中科软,23.93,23.43,22.15,27.4,29.82
1652,870358.BJ,安达农森,31.25,40.0,38.74,23.28,32.87
1654,838949.BJ,恒远药业,17.2,22.13,23.78,23.41,30.6
1669,873339.BJ,恒太照明,34.01,28.41,19.95,30.76,64.11
1672,872318.BJ,久信信息,41.81,30.27,43.22,19.82,21.28
1673,872289.BJ,鸿途信达,21.39,20.51,40.23,31.78,49.51
1674,872022.BJ,味正品康,31.98,38.82,34.88,35.99,34.91
1675,871827.BJ,万杰科技,30.25,48.51,29.17,19.07,26.32
1683,870840.BJ,鼎欣科技,19.23,20.49,18.96,15.5,19.55
1684,870623.BJ,凤阳矿业,36.08,35.68,30.64,30.75,28.48
1685,870221.BJ,申朴信息,28.51,36.51,44.02,60.57,46.67
1688,839497.BJ,绛门科技,34.32,32.03,26.62,32.5,36.49
1694,835960.BJ,九易庄宸,24.08,38.55,33.93,26.14,18.78
1702,688439.SH,振华风光,16.32,35.7,43.51,32.89,24.0
1705,605168.SH,三人行,32.3,27.61,33.52,60.8,56.37
1711,430667,三多堂,21.08,26.38,27.57,26.14,20.28
1716,002737.SZ,葵花药业,21.98,20.49,18.28,17.86,18.25
1718,001322.SZ,箭牌家居,17.1,21.6,31.05,48.41,28.59
1722,873419.BJ,纽时达,21.81,20.71,17.37,20.56,25.25
1729,833186.BJ,宏远电器,19.09,19.51,22.88,24.69,26.49
1734,688486.SH,龙迅股份,24.21,35.9,19.23,26.81,35.53
1735,603565.SH,中谷物流,28.36,35.86,27.93,33.49,27.55
1736,603290.SH,斯达半导,15.3,24.71,17.31,27.23,24.9
1737,603201.SH,常润股份,19.23,26.83,30.76,39.5,16.0
1738,603170.SH,宝立食品,24.44,32.83,32.32,27.64,42.03
1740,601156.SH,东航物流,29.91,45.53,53.61,24.1,36.83
1743,301195.SZ,北路智控,16.58,34.82,46.52,51.89,56.85
1744,300997.SZ,欢乐家,15.82,17.83,26.6,36.14,37.59
1745,300969.SZ,恒帅股份,17.14,18.88,23.37,29.82,23.26
1746,300653.SZ,正海生物,19.58,23.62,19.16,19.22,17.09
1749,002884.SZ,凌霄泵业,19.65,23.83,19.73,20.76,17.36
1753,001332.SZ,锡装股份,16.88,25.74,25.64,28.41,16.8
1760,873679.BJ,前进科技,17.22,16.55,24.52,36.92,51.68
1764,873554.BJ,赛康智能,23.66,29.92,22.25,28.51,34.19
1768,870802.BJ,多立恒,46.59,17.92,32.77,28.38,18.17
1770,870620.BJ,科域生物,34.24,21.68,30.55,22.96,22.83
1772,838171.BJ,邦德股份,22.11,15.46,19.3,34.91,28.42
1773,838129.BJ,同步新科,48.4,41.83,36.55,32.94,30.1
1778,836050.BJ,深蓝股份,29.26,34.74,20.91,16.26,16.73
1780,833707.BJ,精华股份,15.03,15.69,18.38,21.92,21.84
1784,832662.BJ,方盛股份,21.69,21.23,28.79,33.94,37.41
1791,600566.SH,济川药业,21.91,20.46,19.89,28.43,34.74
1792,301312.SZ,智立方,17.35,41.29,51.68,39.17,41.99
1796,688700.SH,东威科技,25.55,27.48,27.92,35.32,55.13
1797,603163.SH,圣晖集成,21.19,33.59,28.41,33.62,16.93
1808,873180.BJ,勇仕网络,68.72,42.19,65.42,71.96,117.35
1809,873111.BJ,攸特电子,15.12,24.99,21.04,20.11,24.78
1811,871471.BJ,天伟生物,30.79,38.66,21.58,16.71,18.83
1812,870877.BJ,星星服装,26.62,30.57,50.27,47.88,34.01
1820,838647.BJ,创意星球,43.53,41.9,26.32,27.87,31.23
1822,838449.BJ,云多科技,16.45,24.73,25.27,24.88,25.33
1825,835620.BJ,奥迪康,40.22,30.25,34.66,34.64,31.48
1826,835297.BJ,东杨新材,21.84,31.59,27.03,26.14,25.06
1830,833189.BJ,达诺尔,20.91,29.5,19.17,18.66,16.77
1841,300832.SZ,新产业,21.89,18.85,22.44,28.07,33.81
1844,001367.SZ,海森药业,25.92,29.36,22.69,28.35,32.96
1857,872665.BJ,交设股份,18.72,18.93,24.81,26.31,26.63
1858,871694.BJ,中裕科技,30.67,21.34,21.59,37.35,39.85
1862,837220.BJ,弘方科技,19.26,18.7,17.15,21.96,28.2
1870,688420.SH,美腾科技,30.59,29.77,54.03,138.8,80.0
1875,871937.BJ,联星技术,27.72,45.22,29.99,39.3,17.75
1878,837011.BJ,极致互动,41.37,24.49,36.8,34.62,33.42
1879,835193.BJ,东立科技,20.5,48.04,55.12,26.67,25.74
1889,430588,天松医疗,22.68,22.73,36.73,27.3,25.48
1890,001225.SZ,和泰机电,35.49,44.57,31.39,34.09,24.09
1895,838812.BJ,欧曼科技,16.51,20.72,26.54,31.0,18.05
1896,836892.BJ,广咨国际,21.9,29.13,34.64,35.92,34.06
1898,834794.BJ,咸亨股份,19.87,21.45,25.29,29.49,25.2
1900,830779.BJ,武汉蓝电,36.54,29.32,37.63,56.64,46.19
1904,600570.SH,恒生电子,17.36,30.11,31.57,37.16,19.83
1905,600563.SH,法拉电子,27.23,26.66,20.46,18.23,19.48
1906,300595.SZ,欧普康视,25.74,28.3,28.18,26.13,23.59
1918,873703.BJ,广厦环能,27.33,33.25,36.56,44.03,32.44
1922,873567.BJ,明远创意,17.2,21.08,21.08,19.05,21.78
1925,872883.BJ,海岳环境,16.64,22.15,26.12,31.68,29.98
1934,837215.BJ,开利控股,63.44,50.29,51.55,49.97,41.79
1935,836955.BJ,智盛信息,36.32,39.59,19.57,49.21,58.2
1939,834256.BJ,天地华泰,21.69,17.09,19.55,19.05,17.21
1945,832323.BJ,聚丰股份,22.84,22.89,19.31,34.03,37.31
1946,832033.BJ,九通衢,19.73,18.88,20.43,19.48,16.07
1949,688376.SH,美埃科技,20.62,26.55,26.48,27.16,16.29
1951,688356.SH,键凯科技,16.45,18.47,19.2,31.51,23.43
1955,688059.SH,华锐精密,16.76,21.29,24.27,24.61,29.76
1958,603899.SH,晨光股份,19.6,26.82,26.91,28.17,26.16
1961,603444.SH,吉比特,32.49,35.97,31.03,28.14,28.05
1966,600690.SH,海尔智家,16.81,17.26,17.68,19.12,20.88
1967,600519.SH,贵州茅台,30.26,29.9,31.41,33.09,34.46
1969,600298.SH,安琪酵母,16.47,20.54,25.15,19.37,21.06
1970,600273.SH,嘉化能源,16.88,21.4,17.38,18.28,16.64
1973,301317.SZ,鑫磊股份,20.99,20.28,24.52,20.87,25.27
1974,301280.SZ,珠城科技,18.93,29.95,29.93,24.14,26.55
1976,301268.SZ,铭利达,23.14,20.61,30.36,21.28,26.22
1977,301165.SZ,锐捷网络,26.79,34.88,32.93,55.63,48.4
1978,301153.SZ,中科江南,22.54,32.71,35.4,25.61,22.91
1980,301029.SZ,怡合达,20.51,22.66,22.07,15.63,20.86
1981,300852.SZ,四会富仕,19.96,18.7,20.96,28.26,25.25
1983,300529.SZ,健帆生物,26.25,38.07,35.74,30.24,26.3
1984,300482.SZ,万孚生物,30.81,20.58,25.13,18.68,19.29
1989,002821.SZ,凯莱英,23.56,16.09,18.16,19.92,18.88
1990,002690.SZ,美亚光电,29.37,21.7,19.1,23.61,20.14
1995,002032.SZ,苏泊尔,27.89,26.81,26.97,30.54,28.84
1997,001269.SZ,欧晶科技,34.07,33.05,25.95,19.35,19.8
2006,873469.BJ,银杉股份,16.5,41.37,41.2,58.24,36.44
2008,873228.BJ,雷霆股份,85.55,65.13,76.86,93.59,114.51
2010,872896.BJ,新威环境,27.28,37.18,47.37,28.48,25.43
2014,839894.BJ,长城搅拌,38.16,33.52,31.69,30.2,25.91
2016,837611.BJ,德芯科技,31.74,33.31,36.66,28.35,18.01
2018,835281.BJ,翰林汇,18.17,22.12,17.48,22.64,25.52
2023,834518.BJ,晨日科技,20.3,41.88,18.84,15.46,24.43
2032,688016.SH,心脉医疗,22.22,23.27,18.66,24.67,50.15
2033,605580.SH,恒盛能源,16.06,22.98,33.09,34.8,31.74
2036,603043.SH,广州酒家,16.7,20.49,19.72,18.65,21.16
2041,430655,今泰科技,16.6,36.4,26.5,17.68,18.38
2042,301367.SZ,怡和嘉业,39.16,34.03,84.87,40.5,25.75
2043,300957.SZ,贝泰妮,20.48,23.33,56.57,65.81,72.06
2044,300841.SZ,康华生物,20.97,35.55,32.15,40.49,57.86
2045,300726.SZ,宏达电子,20.6,32.93,25.23,17.76,15.25
2047,300327.SZ,中颖电子,22.99,30.32,21.08,20.82,20.5
2048,003013.SZ,地铁设计,19.59,19.25,22.42,23.29,26.99
2049,002978.SZ,安宁股份,21.3,32.08,20.64,24.8,29.11
2051,002595.SZ,豪迈科技,17.35,16.93,18.72,18.76,18.06
2054,001203.SZ,大中矿业,17.81,39.21,30.05,25.29,15.05
2056,000661.SZ,长春高新,25.71,28.81,31.22,28.54,20.85
2060,872049.BJ,天诚通信,20.97,35.92,35.55,38.67,33.11
2063,839751.BJ,南思科技,16.95,22.25,21.75,28.66,15.69
2066,836193.BJ,瑞一科技,52.43,29.88,34.96,18.78,16.46
2075,600985.SH,淮北矿业,23.11,20.15,17.04,18.97,23.18
2077,430683,新中德,19.64,30.56,16.89,22.08,21.55
2085,000895.SZ,双汇发展,25.43,21.8,32.93,37.37,38.84
2089,873328.BJ,威锐股份,39.42,35.64,40.59,18.0,44.98
2094,838939.BJ,金坤新材,22.47,52.47,40.62,50.13,33.2
2095,838670.BJ,恒进感应,21.73,45.86,42.44,21.39,16.22
2096,838624.BJ,文龙中美,20.19,19.01,21.04,40.1,26.22
2097,838279.BJ,欧瑞电气,20.04,26.43,24.4,24.01,43.68
2102,688489.SH,三未信安,19.32,22.03,39.71,21.76,15.46
2104,605368.SH,蓝天燃气,18.24,15.47,18.92,20.27,20.51
2105,605099.SH,共创草坪,21.01,20.29,33.8,35.98,41.13
2106,603886.SH,元祖股份,16.97,21.67,19.77,17.17,19.15
2107,603659.SH,璞泰来,26.0,18.07,15.92,20.77,22.39
2110,603052.SH,可川科技,25.45,26.77,25.24,31.4,34.65
2113,600925.SH,苏能股份,28.44,25.18,18.78,19.43,17.07
2116,430220,迈达科技,21.84,26.0,15.4,37.09,24.09
2123,002968.SZ,新大正,18.05,18.49,16.51,33.5,37.1
2133,870583.BJ,一天电气,28.3,27.01,27.62,25.91,26.02
2135,837685.BJ,淘金互动,80.84,114.05,55.13,101.44,79.5
2142,001308.SZ,康冠科技,31.73,37.34,23.81,31.01,30.63
2143,688269.SH,凯立新材,24.62,27.01,34.02,24.53,21.36
2148,600803.SH,新奥股份,33.43,31.09,16.7,18.36,17.29
2150,600036.SH,招商银行,17.06,16.96,15.73,16.84,16.57
2152,003006.SZ,百亚股份,15.3,19.59,21.35,20.02,15.46
2154,001337.SZ,四川黄金,26.82,27.15,43.74,30.64,30.5
2157,873865.BJ,新视野,27.7,38.5,38.35,23.04,42.02
2161,873001.BJ,纬达光电,16.1,21.15,18.51,20.18,25.91
2162,872759.BJ,玮硕恒基,23.92,47.96,65.12,51.52,42.62
2166,839483.BJ,用友金融,23.95,30.63,36.65,24.05,25.03
2167,839341.BJ,福立仪器,28.44,32.42,35.89,28.4,26.28
2169,838241.BJ,开信精工,24.43,20.77,19.05,18.44,23.02
2170,836831.BJ,蜜思肤,23.47,22.95,32.51,39.05,45.54
2177,301389.SZ,隆扬电子,16.59,33.56,41.93,35.54,41.03
2179,002463.SZ,沪电股份,17.7,15.85,24.02,26.73,15.34
2181,839273.BJ,一致魔芋,18.86,19.69,23.0,25.73,25.14
2190,873253.BJ,安天利信,27.32,29.05,32.25,43.82,40.55
2191,871936.BJ,金洁环境,16.46,19.72,22.36,25.48,29.62
2192,838799.BJ,嘉农股份,28.61,33.25,52.17,39.89,37.05
2199,603596.SH,伯特利,18.11,16.21,18.69,19.16,19.06
2200,603219.SH,富佳股份,25.08,26.47,26.15,16.32,26.39
2211,870726.BJ,鸿智科技,31.75,21.29,23.13,27.49,18.66
2218,688290.SH,景业智能,15.48,28.08,40.45,39.21,70.95
2219,605111.SH,新洁能,18.77,30.99,18.49,18.8,33.72
2220,605028.SH,世茂能源,18.84,24.62,32.34,31.5,30.56
2225,600309.SH,万华化学,22.75,42.53,22.2,25.44,50.83
2228,301361.SZ,众智科技,17.92,32.39,30.82,28.09,23.24
2229,300122.SZ,智飞生物,36.13,78.01,46.29,47.67,40.78
2233,002262.SZ,恩华药业,17.2,17.69,18.42,20.22,19.48
2244,836395.BJ,朗鸿科技,28.16,52.68,26.73,52.97,25.16
2248,600486.SH,扬农化工,23.18,19.08,22.19,25.53,24.5
2249,301369.SZ,联动科技,16.56,30.05,21.06,16.34,36.38
2251,603267.SH,鸿远电子,21.98,28.17,20.83,16.62,22.13
2256,000708.SZ,中信特钢,20.96,26.27,22.92,24.19,19.3
2258,873450.BJ,西格医学,40.89,52.69,65.77,16.43,55.2
2267,688301.SH,奕瑞科技,19.25,17.11,21.51,25.52,20.86
2269,301299.SZ,卓创资讯,17.54,23.4,31.86,49.0,51.26
2273,873356.BJ,龙门医药,28.3,33.52,29.7,48.66,38.87
2275,872865.BJ,源惠电气,24.73,30.28,26.0,22.4,26.36
2278,838227.BJ,美登科技,20.16,31.15,27.26,27.36,30.34
2282,002179.SZ,中航光电,16.82,18.22,16.08,15.78,17.77
2293,601138.SH,工业富联,16.17,18.02,18.13,23.04,33.66
2295,301391.SZ,卡莱特,19.78,25.58,39.21,72.52,55.66
2298,870647.BJ,智信道,31.16,35.95,34.9,39.97,50.67
2299,839255.BJ,思亿欧,32.59,48.65,61.0,43.14,39.17
2304,837601.BJ,天瑞电子,21.32,21.63,15.59,24.52,19.81
2306,688786.SH,悦安新材,15.05,21.07,18.39,30.05,36.13
2308,301071.SZ,力量钻石,38.73,42.41,17.85,19.08,24.7
2321,600989.SH,宝丰能源,19.57,25.33,19.04,19.3,30.31
2328,300896.SZ,爱美客,23.73,20.54,25.3,44.01,35.17
2332,688502.SH,茂莱光学,17.54,16.15,16.76,30.76,27.96
2336,833866.BJ,紫翔生物,15.53,33.43,36.05,45.78,22.99
2337,833179.BJ,南京试剂,32.21,27.57,25.67,19.17,18.06
2342,837062.BJ,同成医药,27.94,29.44,16.74,33.62,31.71
2343,002812.SZ,恩捷股份,25.39,21.85,17.15,20.36,16.48
2344,835340.BJ,金网信息,16.48,59.13,19.59,29.33,28.74
2346,603282.SH,亚光股份,34.13,26.09,30.01,29.97,17.07
2352,837341.BJ,睿恒数控,16.86,22.97,23.66,29.57,27.95
2355,300033.SZ,同花顺,25.55,33.59,38.37,24.93,20.23
2358,871484.BJ,聚合电力,17.49,19.21,18.18,18.47,19.3
