,股票代码,股票简称,ROE2019
5,873100.BJ,倍施特,21.75
6,872677.BJ,天朔医疗,35.12
7,871037.BJ,天和环保,18.51
10,839675.BJ,湖北兴欣,15.25
14,838049.BJ,琅卡博,15.88
16,836961.BJ,西磁科技,19.97
19,835680.BJ,西部宝德,19.6
22,831589.BJ,吉福新材,36.56
25,430755,华曦达,32.46
29,873570.BJ,坤博精工,23.52
30,873017.BJ,渝欧跨境,77.52
31,872967.BJ,蓉中电气,19.15
32,872495.BJ,凯鸿物流,17.12
33,872476.BJ,上海生农,16.77
34,872320.BJ,康亚药业,22.1
35,871840.BJ,五五科技,49.27
37,839962.BJ,中诚咨询,50.98
39,838693.BJ,佳鹏股份,41.78
42,838192.BJ,铂联科技,16.22
44,837934.BJ,神州能源,23.18
45,836954.BJ,鼎集智能,41.04
48,835496.BJ,德林荣泽,46.16
51,832214.BJ,太川股份,19.66
52,832010.BJ,亘古电缆,18.33
58,300322.SZ,硕贝德,15.09
60,838549.BJ,金博士,20.55
61,834565.BJ,特美股份,23.83
62,833453.BJ,永创医药,56.82
70,300868.SZ,杰美特,28.92
71,873569.BJ,博大新材,15.7
72,873217.BJ,三科股份,70.48
74,871263.BJ,莱赛激光,29.16
78,872931.BJ,无锡鼎邦,16.05
79,870618.BJ,小六饮食,15.16
80,834743.BJ,迈新科技,24.85
81,833640.BJ,中崎股份,16.79
83,832915.BJ,汉尧碳科,31.05
93,836935.BJ,小棉袄,61.38
97,836521.BJ,商客通,124.7
98,301360.SZ,荣旗科技,36.63
103,873437.BJ,天一恩华,85.79
104,870294.BJ,盈达股份,15.84
105,837701.BJ,融成智造,18.54
111,301357.SZ,北方长龙,61.02
114,603137.SH,恒尚节能,24.3
116,301429.SZ,森泰股份,16.93
117,301387.SZ,光大同创,45.78
119,834762.BJ,清鹤科技,37.15
122,836179.BJ,国天电子,16.6
123,833334.BJ,摩尔股份,18.91
126,839909.BJ,粤嵌科技,17.98
127,871937.BJ,联星技术,39.3
128,831406.BJ,森达电气,16.19
135,603125.SH,常青科技,26.94
137,001367.SZ,海森药业,28.35
140,839036.BJ,珠海鸿瑞,30.35
141,838812.BJ,欧曼科技,31.0
142,838758.BJ,思迅软件,32.48
143,832954.BJ,龙创设计,21.41
144,688146.SH,中船特气,23.93
146,001328.SZ,登康口腔,17.49
147,831828.BJ,利特尔,16.73
148,831304.BJ,迪尔化工,18.88
153,301203.SZ,国泰环保,42.78
155,301141.SZ,中科磁业,19.1
