,股票代码,股票简称,ROE2021
2,900938,海科B,57.25
5,688799.SH,华纳药厂,15.81
7,688767.SH,博拓生物,78.03
8,688728.SH,格科微,27.66
11,688611.SH,杭州柯林,15.33
12,688606.SH,奥泰生物,30.22
13,688575.SH,亚辉龙,17.21
18,688391.SH,钜泉科技,38.67
19,688349.SH,三一重能,53.43
23,688297.SH,中无人机,30.88
31,688213.SH,思特威,16.43
32,688175.SH,高凌信息,18.76
35,688141.SH,杰华特,23.51
36,688137.SH,近岸蛋白,74.94
41,688075.SH,安旭生物,58.16
42,688071.SH,华依科技,18.02
43,688055.SH,龙腾光电,21.73
52,605298.SH,必得科技,15.3
64,603816.SH,顾家家居,23.18
74,603700.SH,宁水集团,15.48
78,603638.SH,艾迪精密,17.87
88,603517.SH,绝味食品,18.46
90,603486.SH,科沃斯,50.9
91,603408.SH,建霖家居,15.28
93,603369.SH,今世缘,22.64
95,603360.SH,百傲化学,25.12
97,603330.SH,天洋新材,15.73
100,603272.SH,联翔股份,22.22
101,603237.SH,五芳斋,24.8
104,603203.SH,快克智能,22.74
107,603125.SH,常青科技,24.55
112,603100.SH,川仪股份,18.4
115,603051.SH,鹿山新材,16.17
120,603026.SH,胜华新材,45.83
121,603008.SH,喜临门,17.86
130,601918.SH,新集能源,32.13
138,601615.SH,明阳智能,18.7
148,601001.SH,晋控煤业,48.55
154,600885.SH,宏发股份,18.19
163,600779.SH,水井坊,49.85
169,600751.SH,海航科技,57.25
211,600383.SH,金地集团,15.69
219,600338.SH,西藏珠峰,30.12
235,600228.SH,返利科技,17.83
244,600177.SH,雅戈尔,16.17
256,600064.SH,南京高科,16.67
257,600057.SH,厦门象屿,17.14
269,200596,古井贡B,21.25
274,003043.SZ,华亚智能,15.5
283,002950.SZ,奥美医疗,15.65
286,002925.SZ,盈趣科技,21.6
287,002913.SZ,奥士康,15.03
289,002901.SZ,大博医疗,29.64
291,002867.SZ,周大生,21.33
296,002833.SZ,弘亚数控,26.69
304,002791.SZ,坚朗五金,20.25
307,002761.SZ,浙江建投,18.79
311,002753.SZ,永东股份,15.27
313,002748.SZ,世龙实业,18.34
332,002648.SZ,卫星化学,36.42
334,002636.SZ,金安国纪,21.5
346,002569.SZ,ST步森,15.4
352,002531.SZ,天顺风能,18.07
359,002487.SZ,大金重工,21.35
365,002432.SZ,九安医疗,37.36
381,002346.SZ,柘中股份,19.9
395,002266.SZ,浙富控股,26.56
397,002248.SZ,华东数控,25.33
398,002244.SZ,滨江集团,15.52
411,002164.SZ,宁波东力,41.96
427,002088.SZ,鲁阳节能,21.73
431,002069.SZ,ST獐子岛,32.46
436,002050.SZ,三花智控,15.98
441,002027.SZ,分众传媒,33.13
445,001318.SZ,阳光乳业,23.22
446,001309.SZ,德明利,19.73
448,001266.SZ,宏英智能,39.08
449,001256.SZ,炜冈科技,20.02
460,000935.SZ,四川双马,18.01
465,000890.SZ,法尔胜,87.91
468,000858.SZ,五粮液,25.3
477,000799.SZ,酒鬼酒,28.0
483,000727.SZ,冠捷科技,30.13
492,000651.SZ,格力电器,21.34
493,000638.SZ,万方发展,43.45
503,000603.SZ,盛达资源,17.56
505,000596.SZ,古井贡酒,21.25
509,000568.SZ,泸州老窖,31.15
519,000425.SZ,徐工机械,15.91
526,000333.SZ,美的集团,24.09
537,000007.SZ,全新好,48.22
545,900905,老凤祥B,21.74
546,873986.BJ,名扬科技,16.26
547,873983.BJ,华晟经世,18.83
551,873868.BJ,腾奇科技,23.04
553,873838.BJ,千叶眼镜,29.01
554,873816.BJ,捷先科技,16.86
555,873809.BJ,温多利,19.36
558,873788.BJ,锐思环保,16.97
559,873775.BJ,元方科技,39.48
561,873761.BJ,瑞华赢,17.31
563,873743.BJ,太湖远大,19.63
564,873734.BJ,康源水务,17.03
570,873620.BJ,中能泰富,20.05
571,873612.BJ,联康信息,29.25
575,873528.BJ,城市大脑,29.97
577,873487.BJ,嘉源检测,26.3
580,873383.BJ,宁夏环境,26.61
582,873348.BJ,云沣环境,33.13
585,873290.BJ,华之鹏,21.05
586,873270.BJ,创兴精密,38.27
593,873141.BJ,世才股份,15.36
594,873132.BJ,泰鹏智能,48.65
602,872936.BJ,恒欣设计,18.42
608,872845.BJ,万淇股份,30.92
609,872842.BJ,中科建友,47.06
619,872709.BJ,巍特环境,31.19
621,872677.BJ,天朔医疗,19.83
624,872628.BJ,英迪迈,21.37
627,872523.BJ,权星智控,54.33
629,872475.BJ,知韬股份,68.7
631,872380.BJ,金鑫新能,18.89
635,872333.BJ,磐电科技,31.89
636,872304.BJ,天浩科技,24.75
640,872161.BJ,风行测控,28.79
643,872017.BJ,八通生物,98.55
647,871878.BJ,富米丽,17.35
653,871811.BJ,中能科技,19.01
655,871690.BJ,上源环保,16.71
658,871556.BJ,埃文低碳,28.93
659,871540.BJ,飞利达,36.11
666,871417.BJ,华建股份,35.15
681,871060.BJ,恒力包装,42.21
682,871037.BJ,天和环保,21.4
687,870879.BJ,元盛塑业,22.23
690,870849.BJ,亿安天下,33.2
696,870788.BJ,ST润雅,1769.85
700,870690.BJ,中德联信,15.2
701,870656.BJ,海昇药业,61.82
702,870652.BJ,厚基股份,76.6
703,870627.BJ,点春科技,15.23
705,870586.BJ,吉小棉袄,22.56
707,870558.BJ,富润科技,24.04
708,870532.BJ,储秀网络,18.67
721,870154.BJ,伊发电力,18.85
727,870046.BJ,图腾信息,33.82
733,839740.BJ,宏日股份,15.96
735,839717.BJ,九州生态,67.68
736,839697.BJ,锐速智能,15.88
744,839490.BJ,七通智能,22.54
750,839233.BJ,艺创科技,18.67
751,839224.BJ,田中科技,20.48
754,839047.BJ,小乙物联,19.98
761,838992.BJ,国讯股份,54.25
762,838981.BJ,钜芯集成,25.58
764,838858.BJ,伊斯佳,15.42
768,838758.BJ,思迅软件,49.52
770,838737.BJ,月新科技,26.76
773,838593.BJ,大唐科技,17.98
774,838582.BJ,德华生态,127.37
775,838526.BJ,鑫英泰,18.7
776,838497.BJ,中商产业,40.87
778,838419.BJ,威泽智能,38.05
783,838355.BJ,锐驰高科,19.49
786,838274.BJ,星捷安,18.82
790,838093.BJ,东水食品,17.04
792,838049.BJ,琅卡博,21.89
801,837758.BJ,宏天信业,27.37
810,837432.BJ,唐彩股份,23.47
812,837403.BJ,康农种业,20.84
813,837392.BJ,天石纳米,23.92
814,837347.BJ,三清国旅,82.57
826,836961.BJ,西磁科技,19.71
827,836930.BJ,京城皮肤,25.28
832,836805.BJ,安徽设计,40.99
836,836715.BJ,优力可,15.09
847,836409.BJ,明峰检测,25.63
849,836399.BJ,汇春科技,34.34
850,836389.BJ,新亚股份,22.33
851,836357.BJ,沛泽园林,18.03
854,836312.BJ,集美新材,43.03
858,836210.BJ,苏马游艇,18.76
861,836122.BJ,南深股份,21.52
862,836076.BJ,蛇口船务,44.72
863,836028.BJ,固特科技,23.3
868,835909.BJ,双飞人,42.71
869,835906.BJ,科润股份,17.3
870,835843.BJ,ST嗨德,4611.07
873,835698.BJ,聚能股份,22.04
874,835688.BJ,平安环保,18.25
877,835579.BJ,机科股份,19.97
878,835544.BJ,万盛智能,15.98
879,835539.BJ,中宇万通,17.82
885,835363.BJ,腾信软创,30.08
887,835269.BJ,长兴制药,16.3
889,835222.BJ,华鼎团膳,25.97
897,835084.BJ,多麦股份,50.57
901,835034.BJ,化龙网络,40.69
903,834960.BJ,金雨茂物,40.32
908,834699.BJ,南通联科,24.09
921,834327.BJ,车讯互联,17.64
924,834282.BJ,前程股份,25.79
929,834169.BJ,山西高科,17.54
930,834162.BJ,江平生物,18.57
938,833936.BJ,百味佳,17.0
940,833908.BJ,比科斯,142.56
948,833753.BJ,超音速,24.47
949,833746.BJ,宏中药业,56.18
951,833515.BJ,禾美农业,24.01
957,833440.BJ,新鸿运,18.23
958,833370.BJ,运鹏股份,26.18
965,833248.BJ,中景橙石,32.63
968,833183.BJ,超凡股份,19.44
970,833058.BJ,ST触动,24.65
980,832849.BJ,华宽通,15.14
986,832685.BJ,华洋科技,26.4
988,832651.BJ,天罡股份,21.18
991,832521.BJ,ST合一康,39.92
995,832479.BJ,长荣农科,16.51
996,832471.BJ,美邦科技,29.91
1005,832141.BJ,燎原环保,25.75
1015,831917.BJ,中电红石,15.5
1024,831830.BJ,和创化学,72.36
1026,831755.BJ,邦正科技,27.59
1028,831721.BJ,ST盛天彩,24.7
1029,831682.BJ,金田科技,20.27
1039,831513.BJ,爱廸新能,21.21
1041,831490.BJ,成电光信,26.03
1042,831482.BJ,和信基业,25.25
1071,830938.BJ,可恩口腔,16.27
1078,830803.BJ,新松医疗,47.34
1085,688707.SH,振华新材,21.74
1087,688696.SH,极米科技,21.22
1091,688662.SH,富信科技,15.16
1092,688661.SH,和林微纳,23.27
1096,688621.SH,阳光诺和,22.22
1102,688553.SH,汇宇制药,32.59
1105,688516.SH,奥特维,29.77
1110,688448.SH,磁谷科技,18.11
1111,688416.SH,恒烁股份,44.56
1113,688396.SH,华润微,15.48
1114,688389.SH,普门科技,16.08
1115,688383.SH,新益昌,23.53
1116,688370.SH,丛麟科技,16.76
1120,688320.SH,禾川科技,19.1
1123,688298.SH,东方生物,104.83
1124,688271.SH,联影医疗,32.83
1126,688265.SH,南模生物,21.33
1128,688255.SH,凯尔达,15.21
1129,688247.SH,宣泰医药,21.22
1134,688208.SH,道通科技,16.6
1143,688130.SH,晶华微,31.14
1147,688068.SH,热景生物,122.43
1148,688061.SH,灿瑞科技,33.48
1154,688026.SH,洁特生物,19.39
1160,605588.SH,冠石科技,17.07
1161,605555.SH,德昌股份,45.93
1162,605376.SH,博迁新材,15.86
1166,605180.SH,华生科技,20.2
1167,605123.SH,派克新材,17.91
1171,603986.SH,兆易创新,19.44
1177,603915.SH,国茂股份,16.87
1178,603906.SH,龙蟠科技,17.24
1179,603897.SH,长城科技,15.86
1182,603883.SH,老百姓,15.72
1186,603868.SH,飞科电器,22.09
1193,603799.SH,华友钴业,23.49
1200,603707.SH,健友股份,25.29
1204,603666.SH,亿嘉和,21.9
1208,603639.SH,海利尔,15.93
1211,603612.SH,索通发展,15.3
1213,603589.SH,口子窖,22.48
1214,603587.SH,地素时尚,19.0
1217,603456.SH,九洲药业,15.06
1220,603380.SH,易德龙,21.57
1227,603277.SH,银都股份,17.39
1233,603216.SH,梦天家居,27.86
1235,603195.SH,公牛集团,28.28
1236,603180.SH,金牌厨柜,16.69
1242,603081.SH,大丰实业,16.03
1244,603040.SH,新坐标,15.18
1255,601678.SH,滨化股份,18.49
1258,601388.SH,怡球资源,23.89
1260,601216.SH,君正集团,21.06
1273,601012.SH,隆基绿能,21.45
1281,600887.SH,伊利股份,25.59
1289,600809.SH,山西汾酒,42.04
1293,600763.SH,通策医疗,27.93
1307,600612.SH,老凤祥,21.74
1308,600596.SH,新安股份,34.36
1318,600500.SH,中化国际,17.61
1324,600406.SH,国电南瑞,15.7
1325,600398.SH,海澜之家,17.5
1328,600346.SH,恒力石化,30.07
1329,600328.SH,中盐化工,20.82
1335,600248.SH,陕西建工,23.77
1350,600132.SH,重庆啤酒,99.69
1351,600083.SH,博信股份,76.04
1361,430755,华曦达,23.31
1388,430164,大医股份,28.78
1408,400131,科迪3,64.57
1409,400129,圣莱达3,1356.81
1415,400065,亚美5,199.0
1422,301399.SZ,英特科技,36.78
1423,301379.SZ,天山电子,26.7
1424,301359.SZ,东南电子,15.82
1427,301305.SZ,朗坤环境,15.31
1428,301269.SZ,华大九天,15.05
1429,301260.SZ,格力博,24.06
1430,301246.SZ,宏源药业,34.51
1431,301197.SZ,工大科雅,15.68
1432,301189.SZ,奥尼电子,30.32
1433,301177.SZ,迪阿股份,32.61
1434,301171.SZ,易点天下,16.52
1435,301161.SZ,唯万密封,17.11
1437,301111.SZ,粤万年青,16.23
1444,300973.SZ,立高食品,19.05
1452,300782.SZ,卓胜微,33.72
