,股票代码,股票简称,ROE2022
1064,831122.BJ,永信科技,23.93
1085,688707.SH,振华新材,36.36
1087,688696.SH,极米科技,17.15
1096,688621.SH,阳光诺和,18.88
1101,688559.SH,海目星,21.27
1105,688516.SH,奥特维,37.76
1114,688389.SH,普门科技,18.75
1115,688383.SH,新益昌,15.56
1123,688298.SH,东方生物,25.03
1124,688271.SH,联影医疗,17.48
1148,688068.SH,热景生物,30.41
1149,688061.SH,灿瑞科技,16.12
1168,605123.SH,派克新材,19.88
1175,603939.SH,益丰药房,15.82
1179,603906.SH,龙蟠科技,21.12
1186,603876.SH,鼎胜新材,24.39
1187,603868.SH,飞科电器,25.73
1194,603799.SH,华友钴业,17.15
1201,603707.SH,健友股份,18.82
1206,603665.SH,康隆达,19.81
1211,603613.SH,国联股份,23.17
1212,603612.SH,索通发展,18.57
1213,603600.SH,永艺股份,20.98
1214,603589.SH,口子窖,18.23
1218,603456.SH,九洲药业,18.69
1221,603380.SH,易德龙,15.05
1228,603277.SH,银都股份,18.3
1231,603233.SH,大参林,17.87
1232,603229.SH,奥翔药业,17.36
1236,603195.SH,公牛集团,27.88
1245,603040.SH,新坐标,15.19
1261,601216.SH,君正集团,17.37
1274,601012.SH,隆基绿能,26.95
1282,600887.SH,伊利股份,19.23
1289,600815.SH,厦工股份,18.56
1290,600809.SH,山西汾酒,44.74
1294,600763.SH,通策医疗,17.57
1301,600661.SH,昂立教育,65.68
1308,600612.SH,老凤祥,17.6
1309,600596.SH,新安股份,29.03
1325,600406.SH,国电南瑞,16.09
1330,600328.SH,中盐化工,21.62
1336,600248.SH,陕西建工,20.7
1337,600236.SH,桂冠电力,19.64
1351,600132.SH,重庆啤酒,69.25
1352,600083.SH,博信股份,115.65
1362,430755,华曦达,57.41
1364,430734,ST源渤,189.59
1368,430670,东芯通信,36.17
1375,430505,上陵牧业,37.69
1376,430459,华艺园林,16.01
1378,430428,陕西瑞科,18.42
1388,430179,宇昂科技,27.77
1402,400151,天首3,90.59
1409,400131,科迪3,260.15
1423,301399.SZ,英特科技,31.89
1424,301379.SZ,天山电子,20.07
1430,301260.SZ,格力博,18.78
1431,301246.SZ,宏源药业,22.93
1456,300760.SZ,迈瑞医疗,33.38
1459,300724.SZ,捷佳伟创,15.64
1490,300373.SZ,扬杰科技,18.98
1514,300108.SZ,*ST吉药,72.63
1529,003033.SZ,征和工业,16.49
1532,003019.SZ,宸展光电,18.49
1539,002973.SZ,侨银股份,17.67
1548,002897.SZ,意华股份,16.0
1554,002836.SZ,新宏泽,23.51
1556,002832.SZ,比音勒芬,19.35
1563,002776.SZ,ST柏龙,332.14
1573,002714.SZ,牧原股份,21.01
1590,002601.SZ,龙佰集团,16.69
1596,002555.SZ,三七互娱,25.41
1605,002497.SZ,雅化集团,52.64
1607,002475.SZ,立讯精密,23.0
1630,002274.SZ,华昌化工,18.84
1638,002223.SZ,鱼跃医疗,17.51
1643,002158.SZ,汉钟精机,22.82
1655,002043.SZ,兔宝宝,19.93
1661,001368.SZ,通达创智,20.6
1666,001282.SZ,三联锻造,15.93
1669,001231.SZ,农心科技,15.35
1698,000733.SZ,振华科技,27.83
1704,000670.SZ,盈方微,25.9
1715,000529.SZ,广弘控股,33.78
1718,000506.SZ,中润资源,50.49
1723,000049.SZ,德赛电池,23.3
1731,874075.BJ,乔路铭,57.21
1737,873936.BJ,金龙电机,17.51
1738,873932.BJ,百金股份,21.99
1739,873921.BJ,赛尔尼柯,33.02
1740,873901.BJ,利盈环保,37.05
1741,873889.BJ,伊邦科技,20.04
1747,873800.BJ,天舒科技,16.06
1749,873771.BJ,海容股份,19.99
1750,873765.BJ,长宇股份,47.09
1751,873739.BJ,大鹏工业,19.47
1757,873695.BJ,海宏液压,19.73
1759,873691.BJ,绿晶生物,20.68
1762,873666.BJ,南京清泉,30.91
1769,873579.BJ,朔翔科技,18.86
1770,873571.BJ,斯迈特,17.27
1772,873516.BJ,顺祥新材,23.45
1773,873513.BJ,金兰股份,35.94
1774,873506.BJ,智慧交通,21.96
1782,873456.BJ,联城科技,25.39
1784,873445.BJ,宝润达,16.26
1786,873420.BJ,德桥股份,25.56
1788,873406.BJ,华甬新材,19.88
1798,873337.BJ,中超伟业,21.2
1819,873193.BJ,擎雷科技,29.19
1820,873192.BJ,易飞国际,30.15
1823,873136.BJ,凯奥净化,29.37
1824,873135.BJ,汉鸣科技,21.39
1827,873119.BJ,绿林幼教,31.23
1828,873116.BJ,朗晖数化,18.95
1833,873063.BJ,车易付,16.41
1841,873018.BJ,永昌股份,16.1
1842,873017.BJ,渝欧跨境,29.21
1847,872958.BJ,硕恩网络,29.1
1853,872895.BJ,花溪科技,20.83
1854,872893.BJ,威易发,36.9
1859,872811.BJ,天源股份,16.53
1860,872775.BJ,中国珠宝,20.52
1865,872666.BJ,友华医院,27.25
1867,872622.BJ,宝马建设,137.47
1870,872573.BJ,艾瑞技术,19.25
1876,872495.BJ,凯鸿物流,18.63
1880,872476.BJ,上海生农,16.79
1881,872471.BJ,林海生态,24.4
1887,872435.BJ,硕博电子,40.68
1888,872432.BJ,德乐科技,21.93
