,股票代码,股票简称,ROE2018
3,838049.BJ,琅卡博,19.7
6,873570.BJ,坤博精工,19.14
8,832010.BJ,亘古电缆,16.15
9,831185.BJ,众智软件,38.99
18,830921.BJ,海阳股份,19.34
19,839909.BJ,粤嵌科技,24.43
21,838758.BJ,思迅软件,37.02
23,872869.BJ,瑞华技术,37.19
24,830779.BJ,武汉蓝电,46.19
27,688016.SH,心脉医疗,50.15
31,838812.BJ,欧曼科技,18.05
33,870976.BJ,视声智能,16.9
36,870726.BJ,鸿智科技,18.66
42,832651.BJ,天罡股份,17.55
50,839295.BJ,金百汇,16.25
51,833179.BJ,南京试剂,18.06
53,839255.BJ,思亿欧,39.17
57,836392.BJ,博为峰,25.89
61,871655.BJ,知行股份,22.26
69,872495.BJ,凯鸿物流,21.35
74,002396.SZ,星网锐捷,16.82
75,872953.BJ,国子软件,34.3
76,839894.BJ,长城搅拌,25.91
79,839719.BJ,宁新新材,26.45
80,834261.BJ,一诺威,17.44
82,836717.BJ,瑞星股份,25.11
86,830896.BJ,旺成科技,17.19
87,872707.BJ,菁华生态,34.41
90,837305.BJ,万和科技,20.7
98,832114.BJ,中爆数字,22.9
99,873593.BJ,鼎智科技,51.71
101,835333.BJ,帕克国际,27.87
102,833455.BJ,汇隆活塞,20.35
104,836699.BJ,海达尔,21.79
109,002075.SZ,沙钢股份,29.87
111,871694.BJ,中裕科技,39.85
120,839792.BJ,东和新材,25.3
130,832646.BJ,讯众股份,21.84
134,838504.BJ,光环国际,26.99
135,837935.BJ,创新股份,31.63
138,873339.BJ,恒太照明,64.11
139,871634.BJ,新威凌,21.15
142,834407.BJ,驰诚股份,24.32
145,838262.BJ,太湖雪,26.55
149,838227.BJ,美登科技,30.34
151,836942.BJ,恒立钻具,28.43
152,836312.BJ,集美新材,33.2
153,837592.BJ,华信永道,16.13
158,873527.BJ,夜光明,18.01
160,872351.BJ,华光源海,19.0
163,870804.BJ,科志股份,29.15
168,870259.BJ,易捷通,26.19
169,839559.BJ,振有电子,25.94
170,839181.BJ,思柏科技,25.12
171,838971.BJ,天马新材,15.48
172,838334.BJ,金证互通,43.33
174,430356,雷腾软件,21.05
176,833936.BJ,百味佳,18.32
179,872808.BJ,曙光数创,24.51
184,873357.BJ,天马国药,18.77
185,688213.SH,思特威,819.72
186,301391.SZ,卡莱特,55.66
187,836208.BJ,青矩技术,26.28
188,832822.BJ,保正股份,21.6
190,833370.BJ,运鹏股份,29.82
193,871753.BJ,天纺标,21.7
194,301390.SZ,经纬股份,24.04
202,871952.BJ,国创节能,30.22
203,871529.BJ,鼎峰科技,25.09
205,871003.BJ,卓力昕,82.22
209,837341.BJ,睿恒数控,27.95
211,836521.BJ,商客通,49.92
212,835207.BJ,众诚科技,22.02
213,833075.BJ,柏星龙,20.14
216,873167.BJ,新赣江,32.99
217,873118.BJ,三阳股份,16.3
218,872895.BJ,花溪科技,31.34
220,870420.BJ,卫星定位,22.5
225,837663.BJ,明阳科技,25.43
226,837403.BJ,康农种业,20.22
229,835690.BJ,信源信息,20.21
230,834950.BJ,迅安科技,31.1
233,834014.BJ,特瑞斯,24.34
245,430685,新芝生物,23.44
249,872392.BJ,佳合科技,28.85
250,872249.BJ,金米特,25.44
251,871951.BJ,左岸环境,32.15
254,837601.BJ,天瑞电子,19.81
255,834677.BJ,古纤道,16.39
256,834408.BJ,盛源科技,19.42
267,873233.BJ,睿高股份,31.71
268,872418.BJ,泰铂科技,33.14
269,871856.BJ,琪玥环保,39.82
270,837273.BJ,南联环资,16.45
271,836422.BJ,润普食品,16.13
276,833171.BJ,国航远洋,54.03
277,832898.BJ,天地壹号,23.07
279,600487.SH,亨通光电,22.0
283,870357.BJ,雅葆轩,19.6
285,835849.BJ,上海众幸,22.59
291,831641.BJ,格利尔,27.42
295,301162.SZ,国能日新,32.48
299,835363.BJ,腾信软创,31.9
300,832958.BJ,艾芬达,21.0
308,301288.SZ,清研环境,108.8
309,301150.SZ,中一科技,19.93
310,301148.SZ,嘉戎技术,84.62
311,834058.BJ,华洋赛车,38.57
312,833429.BJ,康比特,17.51
314,688279.SH,峰岹科技,42.61
315,301248.SZ,杰创智能,22.11
316,301187.SZ,欧圣电气,20.22
317,688209.SH,英集芯,45.44
322,688125.SH,安达智能,34.26
324,833844.BJ,智德股份,33.13
326,872665.BJ,交设股份,26.63
330,301279.SZ,金道科技,20.76
331,301109.SZ,军信股份,31.66
338,832662.BJ,方盛股份,37.41
339,688337.SH,普源精电,18.54
340,301151.SZ,冠龙节能,60.57
341,001368.SZ,通达创智,64.67
343,872374.BJ,云里物里,48.86
344,838172.BJ,芯诺科技,21.11
352,301268.SZ,铭利达,26.22
353,873253.BJ,安天利信,40.55
355,870866.BJ,绿亨科技,19.15
356,836957.BJ,汉维科技,22.84
359,688371.SH,菲沃泰,37.29
363,301097.SZ,天益医疗,19.26
364,832110.BJ,雷特科技,15.47
366,873001.BJ,纬达光电,25.91
371,873169.BJ,七丰精工,17.97
372,430564,天润科技,16.64
373,301349.SZ,信德新材,30.84
375,301263.SZ,泰恩康,15.45
376,301209.SZ,联合化学,17.25
377,837821.BJ,则成电子,29.0
378,688290.SH,景业智能,70.95
379,301396.SZ,宏景科技,37.78
380,301356.SZ,天振股份,40.35
381,301286.SZ,侨源股份,40.5
382,301273.SZ,瑞晨环保,33.06
383,301260.SZ,格力博,84.06
384,301258.SZ,富士莱,23.37
387,301216.SZ,万凯新材,31.48
388,874058.BJ,九州风神,27.82
392,301299.SZ,卓创资讯,51.26
393,603073.SH,彩蝶实业,27.27
396,301388.SZ,欣灵电气,31.14
397,301369.SZ,联动科技,36.38
398,301290.SZ,东星医疗,17.47
400,301192.SZ,泰祥股份,39.19
401,872759.BJ,玮硕恒基,42.62
402,871970.BJ,大禹生物,23.22
403,870299.BJ,灿能电力,32.2
405,831627.BJ,力王股份,17.08
407,833533.BJ,骏创科技,31.53
409,301377.SZ,鼎泰高科,32.93
411,301276.SZ,嘉曼服饰,21.84
